details_id,Role,Industry Type,Department,Employment Type,Role Category,description,skills_required
885,Back End Developer,IT Services & Consulting,Engineering - Software & QA,Full Time Permanent,Software Development,"Spring Boot,Java 8,microservices,Java Development,Boot,Development,Spring,Java","java,Cassandra,Cicd Pipeline,Spring Boot,Microservices,no sql"
886,Full Stack Developer,IT Services & Consulting,Engineering - Software & QA,Full Time Permanent,Software Development,"Java,Javascript,Spring Boot,Nodejs Applications,Development,Boot,Fullstack Development,Spring,Application","Java,Dynatrace,Node.Js,no sql,azure,Jenkins,Spring"
887,Sales Support & Operations - Other,BPO / Call Centre,Sales & Business Development,Full Time Permanent,Sales Support & Operations,"Business Development Executives are a part of the Bank's front line sales team.,Their primary responsibility is sales of banks products to new customers for the bank.,They will be required to take part in offsite marketing activities and travel locally to meet new customers as a daily activity.,They are responsible for selling banking and third party products to customers based on their needs.,They are responsible for handling customer queries.,Business Development Executives are required to achieve targets assigned by the bank within initial,6 months for confirmation of their service","Field Sales,Field Work,marketing,Sales And Marketing,Bpo Sales,third party products"
888,Marketing - Other,BPO / Call Centre,Marketing & Communication,Full Time Permanent,Marketing,"Business Development Executives are a part of the Bank's front line sales team.,Their primary responsibility is sales of banks products to new customers for the bank.,They will be required to take part in offsite marketing activities and travel locally to meet new customers as a daily activity.,They are responsible for selling banking and third party products to customers based on their needs.,They are responsible for handling customer queries.,Business Development Executives are required to achieve targets assigned by the bank within initial,6 months for confirmation of their service","marketing,sales,Written Communication,verbal communication"
889,Database Administrator,IT Services & Consulting,Engineering - Software & QA,Full Time Permanent,DBA / Data warehousing,"Hyderabad work location only,3 to 10 years of exp,Only night shifts for initial 7 months post that rotational shifts","sql server database,sql server dba,sql,sql dba,sql database"
890,Associate / Consultant,Accounting / Auditing,Consulting,Full Time Permanent,Management Consulting,"A career in National Special Functions, within Business Services, will provide you with the opportunity to support service, sector, and market leaders to deliver the unique PwC client experience to our clients,Youll play an important part in continuously innovating and improving Firm operations so that we can continue to provide the highest quality of services to our current and prospective clients,Our PwC Intelligence team is responsible for serving as a strategic business partner for an assigned customer to identify and pursue new opportunities, conduct market analysis, and prepare revenue projections,Youll also develop new service offerings and solutions, enhance existing delivery capabilities, and support the delivery of solutions on engagements,As an Associate, youll work as part of a team of problem solvers, helping to solve complex business issues from strategy to execution","Business services,Market analysis,Administration,Data analysis,Project management,Analytical,Manager Quality Control,Risk management,Stakeholder management,Operations"
891,ERP Developer,IT Services & Consulting,Engineering - Software & QA,Full Time Permanent,Software Development,"Experience   with SAP UI technologies, Web UI programming skills (JavaScript, HTML5, CSS)   •    Experience of development and delivery of SAP standard as   well as custom Fiori / SAP-UI5 applications   •    Experience with SAP NetWeaver Gateway Integration and   Configuration of Fiori launch pad.   •    Customization of launchpad and theming   •    Experience in ABAP / OData / Enhancements   •    Knowledge in Fiori Elements and Mobile Solutions added   advantage    •    knowledge in MVC architecture","SAP Fiori,CSS,UI,sap ui,MVC architecture,JavaScript,HTML5,Fiori,UI5 applications,SAP NetWeaver,Fiori Elements,web ui"
892,Functional Consultant,IT Services & Consulting,Consulting,Full Time Permanent,IT Consulting,"SAP MM,SAP FICO,SAP CIG,SAP SD,SAP PP,SAP Integration,Ariba,SAP Support,SAP WM,Integration,WM Module,SAP,Consulting,FICO,SD","SAP SD,ECC,debugging,S4 HANA,RFC,FICO"
893,Functional Consultant,IT Services & Consulting,Consulting,Full Time Permanent,IT Consulting,"Abap Development,Odata,Sap Abap Hana,SAP ABAP,sap abap development,Development,SAP,Abap,SAP Hana,Abap On Hana","SAP ABAP,SAP PM,CDS,Agile"
895,HR Business Partner (HRBP),Recruitment / Staffing,Human Resources,Full Time Permanent,HR Operations,"You’ll partner with business leaders to develop and execute HR strategies which are focused on talent management, organizational effectiveness, workforce planning, and employee engagement.,The ability to understand business goals and recommend new approaches, policies and procedures to effect continual improvements in business objectives, productivity and development of HR within the company.,A true hands-on approach as well as the ability to successfully monitor the ""pulse"" of the employees to ensure a high level of employee engagement.,A strong solution focus and comfortable working in an environment which demands strong deliverables along with the ability to identify problems and drive appropriate solutions.,Work on Strategic Projects in diverse areas of interest with intersections leading to innovation, cross-functional leverage and contextual applications to add/unlock/create value.,Work closely with the managers on each case & Identifying training needs & recommending those to the Manager.,Opportunity to design new HR processes / changes to HR processes in performance management, recruitment and rewards areas.","Human Resource Management,Training Need Analysis,recruitment,Employee Engagement,HR Strategy,Talent Management,Performance Management,Workforce Planning,Employee Retention,Organizational Development,communication skills"
896,Construction / Site Supervisor,Engineering & Construction,Construction & Site Engineering,Full Time Permanent,Construction Engineering,"QS,Boq,Quantity,Quantity Surveying,Survey","Rebar,Bbs,Bar Bending Schedule,AutoCAD,Shop Drawing,High Rise Building,Detail Drawings"
897,Back End Developer,IT Services & Consulting,Engineering - Software & QA,Full Time Permanent,Software Development,"Minimum of 7+ years of experience with developing low latency, resilient, highly scalable, fault-tolerant applications in Java/J2EE environment.,Minimum of 5+ years of experience in development in Linux environment.,7+ years of experience in developing Web Services (SOAP and REST).,7+ years of experience with Java ,Spring framework(Spring Boot ,Spring Security, Spring Data JPA, Spring AOP etc).,5+ years of experience in Java 8+.,5+ years of experience in developing UIs using Angular or React and HTML5, JSP, CSS, jQuery, JavaScript etc.,3+ years of experience working with Kafka, MQ or other messaging platforms.,3+ years of experience contributing to the architecture and design (architecture, design patterns, reliability and scaling) of new and current systems.,Hands on experience in developing Microservices using Domain Driven Design.,Hands on experience in building images and running containers using Docker.,Hands on experience in CI/CD processes and able to implement it for the desired technology (Kubernetes, Docker, Jenkins, Git and others).,Hands on experience of SQL and PL/SQL.,Experience with NoSQL databases.,Experience doing Software Development using Scaled Agile and DevSecOps methodology is preferred.,Experience in deploying applications to Azure(App Service, Functions, Azure Kubernetes Service, Azure Container Instances).,Experience with high volume ordering in supply chain environment","Java,DevOps,Kafka,react,fullstack"
898,Technical Lead,IT Services & Consulting,Engineering - Software & QA,Full Time Permanent,Software Development,"About us,Careers,Employer home,Sitemap","SAP,ODATA,SAP S/4 HANA ABAP,SAP FIORI,SAP HANA,SAP Scripts,SAP S/4HANA"
899,Network Security Engineer,IT Services & Consulting,IT & Information Security,Full Time Permanent,IT Security,"Solid      advanced technical skills related to troubleshooting in areas of,infrastructure       technologies including but not limited to Cisco, Arista, Meraki Local       Area Networks (LAN), WiFi and Wide Area network (WAN) components,Routing and       Switching technologies from providers such as Cisco , Arista, Meraki are       mandatory.,Wi-Fi both       Cisco & Meraki,,Product       platforms like Cisco Nexus, Cisco ASR, Cisco ISR Cisco Catalyst,Cisco       Meraki MS & MR platform,Arista 7K       platform and CloudVision.,Solid      advanced technical troubleshooting skills in,IPv4, IPv6,       DNS, DHCP, NTP, ARP, RARP, SSL,Network       Protocols like BGP, EIGRP, MPLS and OSPF etc.,,Switching       technologies involving HSRP, STP, VTP, RSTP, EtherChannel, VRRP.,DC       technologies including VxLAN, BGP-EVPN.,Technical      Knowledge Riverbed WAN Optimization & Versa SD-WAN are desired skills.,Strong      knowledge on Network monitoring and management tools.,Strong      knowledge on WAN optimization configuration and troubleshooting (Riverbed),Possesses a      solid working knowledge of the Information Technology Infrastructure      Library (ITIL) to recognize appropriate aspects in the Incident, Problem,      Change and Availability processes as it related to Data Network activities      and workflows.,Maintains a      comprehensive knowledge of IT end - to- end processes and operating      environment to support proper recognition of issues or to recognize and      position improvement opportunities to properly support the mandate of the      role in technical support,Manifests      the highest communication skills to adapt communication style to the style      of others, developing rapport and staying calm under pressure and to build      and maintain strong relationships across all levels of a matrixed,      geographically dispersed organization using advanced oral and written      English communication skills.,Manifests a      strong analytical and problem-solving ability to escalate and negotiate      complex and conflicting issues in IT technical investigations, handle      multiple and shifting priorities in a timely fashion across a broad      spectrum of operating environments and to drive solutions that are both      financially sound and operationally feasible.,Advanced      knowledge of the Service Now system or similar ticketing tools to record      incidents and remediation as well as guide others (as needed) in features      and functions.,Strictly      adhere to Change, Incident and problem management process.","network monitoring,WAN,Network Data,LAN,Active Directory"
900,IT & Information Security - Other,IT Services & Consulting,IT & Information Security,Full Time Permanent,IT & Information Security - Other,"Solid      advanced technical skills related to troubleshooting in areas of,infrastructure       technologies including but not limited to Cisco, Arista, Meraki Local       Area Networks (LAN), WiFi and Wide Area network (WAN) components,Routing and       Switching technologies from providers such as Cisco , Arista, Meraki are       mandatory.,Wi-Fi both       Cisco & Meraki,,Product       platforms like Cisco Nexus, Cisco ASR, Cisco ISR Cisco Catalyst,Cisco       Meraki MS & MR platform,Arista 7K       platform and CloudVision.,Solid      advanced technical troubleshooting skills in,IPv4, IPv6,       DNS, DHCP, NTP, ARP, RARP, SSL,Network       Protocols like BGP, EIGRP, MPLS and OSPF etc.,,Switching       technologies involving HSRP, STP, VTP, RSTP, EtherChannel, VRRP.,DC       technologies including VxLAN, BGP-EVPN.,Technical      Knowledge Riverbed WAN Optimization & Versa SD-WAN are desired skills.,Strong      knowledge on Network monitoring and management tools.,Strong      knowledge on WAN optimization configuration and troubleshooting (Riverbed),Possesses a      solid working knowledge of the Information Technology Infrastructure      Library (ITIL) to recognize appropriate aspects in the Incident, Problem,      Change and Availability processes as it related to Data Network activities      and workflows.,Maintains a      comprehensive knowledge of IT end - to- end processes and operating      environment to support proper recognition of issues or to recognize and      position improvement opportunities to properly support the mandate of the      role in technical support,Manifests      the highest communication skills to adapt communication style to the style      of others, developing rapport and staying calm under pressure and to build      and maintain strong relationships across all levels of a matrixed,      geographically dispersed organization using advanced oral and written      English communication skills.,Manifests a      strong analytical and problem-solving ability to escalate and negotiate      complex and conflicting issues in IT technical investigations, handle      multiple and shifting priorities in a timely fashion across a broad      spectrum of operating environments and to drive solutions that are both      financially sound and operationally feasible.,Advanced      knowledge of the Service Now system or similar ticketing tools to record      incidents and remediation as well as guide others (as needed) in features      and functions.,Strictly      adhere to Change, Incident and problem management process.","WAN,Network Data,LAN"
901,IT & Information Security - Other,IT Services & Consulting,IT & Information Security,Full Time Permanent,IT & Information Security - Other,"Solid      advanced technical skills related to troubleshooting in areas of,infrastructure       technologies including but not limited to Cisco, Arista, Meraki Local       Area Networks (LAN), WiFi and Wide Area network (WAN) components,Routing and       Switching technologies from providers such as Cisco , Arista, Meraki are       mandatory.,Wi-Fi both       Cisco & Meraki,,Product       platforms like Cisco Nexus, Cisco ASR, Cisco ISR Cisco Catalyst,Cisco       Meraki MS & MR platform,Arista 7K       platform and CloudVision.,Solid      advanced technical troubleshooting skills in,IPv4, IPv6,       DNS, DHCP, NTP, ARP, RARP, SSL,Network       Protocols like BGP, EIGRP, MPLS and OSPF etc.,,Switching       technologies involving HSRP, STP, VTP, RSTP, EtherChannel, VRRP.,DC       technologies including VxLAN, BGP-EVPN.,Technical      Knowledge Riverbed WAN Optimization & Versa SD-WAN are desired skills.,Strong      knowledge on Network monitoring and management tools.,Strong      knowledge on WAN optimization configuration and troubleshooting (Riverbed),Possesses a      solid working knowledge of the Information Technology Infrastructure      Library (ITIL) to recognize appropriate aspects in the Incident, Problem,      Change and Availability processes as it related to Data Network activities      and workflows.,Maintains a      comprehensive knowledge of IT end - to- end processes and operating      environment to support proper recognition of issues or to recognize and      position improvement opportunities to properly support the mandate of the      role in technical support,Manifests      the highest communication skills to adapt communication style to the style      of others, developing rapport and staying calm under pressure and to build      and maintain strong relationships across all levels of a matrixed,      geographically dispersed organization using advanced oral and written      English communication skills.,Manifests a      strong analytical and problem-solving ability to escalate and negotiate      complex and conflicting issues in IT technical investigations, handle      multiple and shifting priorities in a timely fashion across a broad      spectrum of operating environments and to drive solutions that are both      financially sound and operationally feasible.,Advanced      knowledge of the Service Now system or similar ticketing tools to record      incidents and remediation as well as guide others (as needed) in features      and functions.,Strictly      adhere to Change, Incident and problem management process.","WAN,LAN,Network Data"
902,IT & Information Security - Other,IT Services & Consulting,IT & Information Security,Full Time Permanent,IT & Information Security - Other,"Solid      advanced technical skills related to troubleshooting in areas of,infrastructure       technologies including but not limited to Cisco, Arista, Meraki Local       Area Networks (LAN), WiFi and Wide Area network (WAN) components,Routing and       Switching technologies from providers such as Cisco , Arista, Meraki are       mandatory.,Wi-Fi both       Cisco & Meraki,,Product       platforms like Cisco Nexus, Cisco ASR, Cisco ISR Cisco Catalyst,Cisco       Meraki MS & MR platform,Arista 7K       platform and CloudVision.,Solid      advanced technical troubleshooting skills in,IPv4, IPv6,       DNS, DHCP, NTP, ARP, RARP, SSL,Network       Protocols like BGP, EIGRP, MPLS and OSPF etc.,,Switching       technologies involving HSRP, STP, VTP, RSTP, EtherChannel, VRRP.,DC       technologies including VxLAN, BGP-EVPN.,Technical      Knowledge Riverbed WAN Optimization & Versa SD-WAN are desired skills.,Strong      knowledge on Network monitoring and management tools.,Strong      knowledge on WAN optimization configuration and troubleshooting (Riverbed),Possesses a      solid working knowledge of the Information Technology Infrastructure      Library (ITIL) to recognize appropriate aspects in the Incident, Problem,      Change and Availability processes as it related to Data Network activities      and workflows.,Maintains a      comprehensive knowledge of IT end - to- end processes and operating      environment to support proper recognition of issues or to recognize and      position improvement opportunities to properly support the mandate of the      role in technical support,Manifests      the highest communication skills to adapt communication style to the style      of others, developing rapport and staying calm under pressure and to build      and maintain strong relationships across all levels of a matrixed,      geographically dispersed organization using advanced oral and written      English communication skills.,Manifests a      strong analytical and problem-solving ability to escalate and negotiate      complex and conflicting issues in IT technical investigations, handle      multiple and shifting priorities in a timely fashion across a broad      spectrum of operating environments and to drive solutions that are both      financially sound and operationally feasible.,Advanced      knowledge of the Service Now system or similar ticketing tools to record      incidents and remediation as well as guide others (as needed) in features      and functions.,Strictly      adhere to Change, Incident and problem management process.","WAN,LAN,Network Data"
903,IT & Information Security - Other,IT Services & Consulting,IT & Information Security,Full Time Permanent,IT & Information Security - Other,"About us,Careers,Employer home,Sitemap",Linux
904,IT & Information Security - Other,IT Services & Consulting,IT & Information Security,Full Time Permanent,IT & Information Security - Other,"About us,Careers,Employer home,Sitemap",Linux
905,IT & Information Security - Other,IT Services & Consulting,IT & Information Security,Full Time Permanent,IT & Information Security - Other,"About us,Careers,Employer home,Sitemap",Linux
906,IT & Information Security - Other,IT Services & Consulting,IT & Information Security,Full Time Permanent,IT & Information Security - Other,"Experience on Oracle database administration in AIX,LINUX,WINDOWS,Excellent working experience in Oracle 11g and Oracle 12c,Good expertise in Oracle s/w installation, configurations DB upgrades/patching/migrations in Oracle 11g & 12c,should have strong Linux, AIX, Windows expertise,Working experience in IBM CDC (change Data Capture),Expertise in upgrading and migrating databases to Cloud,Data replication with Oracle data guard (Physical standby) I (Oracle 11g & 12c),Oracle RAC administration &  Configuration /backup recovery/performance trouble shooting in (Oracle 11g & 12c)  Nice to have,Working experience in  of Oracle RAC clusters, Data guard, 10g/11g/12c Grid control,Backup and recovery with RMAN,Troubleshooting oracle instance/SQL performance issues,Data replication with IBM CDC,Experience as ORACLE DBA (Oracle 10g/11g /12c/ Oracle RAC) on SUSE Linux, AIX, Solaris and Windows platforms,Database Design, creation, Database Estimation/Sizing,Very good SQL and Shell scripting knowledge, cron jobs, dbms jobs,Excellent in DB troubleshooting skills and Performance Tuning, AWR, ADDM,OEM configuration and troubleshooting,Perform database tuning including monitoring, troubleshooting and optimizing performance of the databases,Provide 24x7 production support.,Develop archival, backup and recovery strategy,Capable of supporting and implementing technology projects as the primary DBA in support of business initiatives,Ability to create and maintain positive and professional business relationships with both internal associates and external customers","oracle,Mssql Dba,DB2,Postgresql"
907,IT & Information Security - Other,IT Services & Consulting,IT & Information Security,Full Time Permanent,IT & Information Security - Other,"Experience on Oracle database administration in AIX,LINUX,WINDOWS,Excellent working experience in Oracle 11g and Oracle 12c,Good expertise in Oracle s/w installation, configurations DB upgrades/patching/migrations in Oracle 11g & 12c,should have strong Linux, AIX, Windows expertise,Working experience in IBM CDC (change Data Capture),Expertise in upgrading and migrating databases to Cloud,Data replication with Oracle data guard (Physical standby) I (Oracle 11g & 12c),Oracle RAC administration &  Configuration /backup recovery/performance trouble shooting in (Oracle 11g & 12c)  Nice to have,Working experience in  of Oracle RAC clusters, Data guard, 10g/11g/12c Grid control,Backup and recovery with RMAN,Troubleshooting oracle instance/SQL performance issues,Data replication with IBM CDC,Experience as ORACLE DBA (Oracle 10g/11g /12c/ Oracle RAC) on SUSE Linux, AIX, Solaris and Windows platforms,Database Design, creation, Database Estimation/Sizing,Very good SQL and Shell scripting knowledge, cron jobs, dbms jobs,Excellent in DB troubleshooting skills and Performance Tuning, AWR, ADDM,OEM configuration and troubleshooting,Perform database tuning including monitoring, troubleshooting and optimizing performance of the databases,Provide 24x7 production support.,Develop archival, backup and recovery strategy,Capable of supporting and implementing technology projects as the primary DBA in support of business initiatives,Ability to create and maintain positive and professional business relationships with both internal associates and external customers","DB2 DBA,oracle,Msql,Postgresql"
908,Functional Consultant,IT Services & Consulting,Consulting,Full Time Permanent,IT Consulting,"About us,Careers,Employer home,Sitemap","SAP MDG,BADI ABAP,SAP MDG configurations,UI Modeling,MDG workflows,SAP MDG Consultant,Process Modeling,Data Modeling,OOPs programming,WDABAP,Data Replication Framework"
909,Functional Consultant,IT Services & Consulting,Consulting,Full Time Permanent,IT Consulting,"About us,Careers,Employer home,Sitemap","SAP HCM,Payroll,SAP,HCM,SAP HR,HANA"
910,Software Development - Other,E-Learning / EdTech,Engineering - Software & QA,Full Time Permanent,Software Development,"About us,Careers,Employer home,Sitemap","Spring Boot,microservices,sql,rest,Java Architecture,Coding,jdbc,Spring,programming,Servlets,nosql"
911,System Analyst,IT Services & Consulting,IT & Information Security,Full Time Permanent,IT Infrastructure Services,"About us,Careers,Employer home,Sitemap",Snowflake
912,System Analyst,IT Services & Consulting,IT & Information Security,Full Time Permanent,IT Infrastructure Services,"Experience in TIBCO EBX  development with at least 1 year experience on EBX V6,Experience on EBX V5 to V6 migration,Experience in EBX V6 Match and Merge module,Knowledge about MDM functionalities,Knowledge about Tibco EBX (data modeling, workflows development, UI customizations, REST API) and its add-on capabilities and experience in MDM implementations using EBX,Good understanding on classes/methods available in TIBCO EBX Java API packages like  adaptation, repository etc.,Experience in writing custom Java classes using TIBCO EBX packages/classes/methods,Familiarity of infrastructure and network architecture for solution implementation guidance,Experience working with data centric application development and testing.,Strong understanding of relational databases,Professional experience with GIT, Jenkins,Good understanding about CI/CD tools and processes,Extensive experience working in Agile processes and tools,Strong software design skills.- Ability to translate business needs into architecture requirements,Excellent analytical skills,Excellent communication skills.,Experience working with remote teams.","tibco,ebx"
915,IT Project Manager,IT Services & Consulting,Project & Program Management,Full Time Permanent,Technology / IT,"Minimum 8 years experience in software development, of which at least 4+years successfully performing Scrum Master Role,4+ years of experience in Agile Scrum, Kanban, or Lean, and would know how to adapt them.,Expertise and experience to guide and coach the Scrum Team and organization in understanding and implementing Agile ways of working.,Engage with team members in a dynamic and cross-functional environment, promoting a strong team culture.,Innovatively address complex issues, removing distractions for team members and driving speed and value in team performance.,Lead scrum events and discussions with subject matter experts and stakeholders to follow Agile best practices and resolve impediments.,Must have experience using Agile methodology tools like JIRA (ALM), Confluence (Collaboration) etc.,Facilitate information exchange and conflict resolution to develop strong Agile capabilities.,Use domain knowledge to work with the Product Owner to rebalance and reprioritize work within a sprint.,Experience in managing tasks, backlog tracking, burn down metrics, velocity, and user stories,Experience in Agile techniques like: User Stories, Continuous Integration, TDD, Continuous Testing, Pairing, Automated Testing","scrum,agile,Lean,kanban"
917,Back End Developer,IT Services & Consulting,Engineering - Software & QA,Full Time Permanent,Software Development,"c#,.net,API,AWS,Development",".netcore,WEB API,Azure,Angular8"
918,System Analyst,IT Services & Consulting,IT & Information Security,Full Time Permanent,IT Infrastructure Services,"Required technical and professional expertise,Experience required in administering, configuring, and developing solutions in one or more of the following MDM tools:,Informatica MDM/360,Reltio,Profisee,Semarchy,Experience in MDM development on following components,cleanse,security,Packages/Queries,Hierarchy Management,Trust enablement,Expertise in UI development, creating layouts etc. on Business Entity Framework for data stewards,SQL hands on for all DDL and DML operations,Preferred technical and professional expertise,Java experience in writing Webservices is preferred (External call development),Experience in configuring the MDM File Import process,Elastic Search configuration experience,You love collaborative environments that use agile methodologies to encourage creative design thinking and find innovative ways to develop with cutting edge technologies,Ambitious individual who can work under their own direction towards agreed targets/goals and with creative approach to work,Intuitive individual with an ability to manage change and proven time management,Proven interpersonal skills while contributing to team effort by accomplishing related results as needed,Up-to-date technical knowledge by attending educational workshops, reviewing publications,Understand cloud infrastructure management in one or more of AWS, GCP, Azure,Snowflake architecture and implementation,Your role:,As MDM Specialist, you will define, deliver, and support the data solutions. You are responsible for the setup, configuration, development, and ongoing operation of our MDM solutions.,Your responsibilities:,Requirement gathering, Design, Data Modeling.,Integration with Source systems and Downstream applications.,MDM development. Knowledge in complex cleanse functions, Security Access Manager, Match/merge rules set up, Trust enablement.","informatica mdm,mdm"
919,Construction Engineering - Other,Engineering & Construction,Construction & Site Engineering,Full Time Permanent,Construction Engineering,"To manage and maintain subcontractor production levels in order to meet program requirements.,To implement and maintain correct procedures on quality systems in order to obtain client approval.,To liaise with procurement and engineering staff to ensure the selection of material that meet budget and specification to ensure approvals are obtained from client.,To manage engineering team in the production of shop drawings and installation method statements in order to meet the project program with regards to installation works,To manage engineering staff in the selection of subcontractors that meet budget and specification in order to obtain pre-qualification from the client.,Experience in construction management,Experience in project planning,Experience in direct supervision of works,Exposure to procurement,Exposure to quality systems,Exposure to engineering processes,Exposure to recruitment (interview and selection process)","building construction,MEP Coordination,Mep Design,engineering procurement,project planning,Project Execution,Project Engineering,Site Management,Project Monitoring,Quality Management,Project Scheduling,Recruitment"
920,Project Planner / Scheduler,Engineering & Construction,Project & Program Management,Full Time Permanent,Other Program / Project Management,"B.E. / B.Tech in Civil Engg with 20+ Years of Experience,Prepare, maintain and update detailed works planning and program,Coordinate and liaise with section managers to update the detailed works program,Coordinate and liaise with subcontractors and authorities in relation to planning and programming matters for the various interface that exist on the project.,Liaise with Construction Managers and site team to ensure interface issues are identified and dealt with.,Maintain consultants and vendors drawing progress with Document Controller,Monitor and report design review progress of client,Assist in the production of monthly progress report for both internal purposes and client.,Prepare program and other detailed information necessary for substantiating claims and provision with regards to planning and programming to the commercial department,Proper process controls and segregation of duties,To lead by personal example and to set direction to achieve the identified goals of a Leighton Free Incident Environment","High Rise Building,Microsoft Project Planning,Primavera,Project Planning,Project Scheduling,Planning Management"
921,Construction Engineering - Other,Engineering & Construction,Construction & Site Engineering,Full Time Permanent,Construction Engineering,"Education - Diploma / Degree in Civil Engineering,Total years of experience 6 to 8 years High Rise / Commercial Buildings,Hands on experience on Formworks system Mivan , Doka, Peri etc .,Study the drawings, technical specifications understand the total scope of formwork.,Coordination with Clients/Consultants/ Designer based on requirement if any to change the drawings or specs.,Prepare the formwork strategy along with the Site Civil head Site Planning for the job.,In line with the base schedule formwork strategy, prepare the planning for Resources, Material, and Tools Tackles for execution.,Coordinate with other depts. like Planning, Quality, PM and In-charges and ensure that all construction methodology is in place as a team.,Monitor Track the weekly/monthly material stock and update the same to concern Superior,","Coordination,Site Coordination,Design Coordination,Engineering Coordination,Project Coordination"
922,EHS Officer,Engineering & Construction,Environment Health & Safety,Full Time Permanent,Community Health & Safety,"B. Sc. / B.Tech./Diploma in engineering (Civil/Mech/Electrical/Chemical) + Advanced Diploma in Industrial Safety from MSBTE (Maharashtra State Board of Technical Education),Experience- 6-8 years in high rise building construction.,Carry out site surveys in association with the project management team to ensure that only safe methods of working are in operation and that all regulations are being observed.,Assist with safety induction and training of all levels of employee on the project.,work starts and on the site safety organization Method of safe working arising from new developments.,Determine the cause of any accident or dangerous occurrence and recommend means of preventing recurrence.,Supervise the recording and analysis of information on injuries damage and loss assess accident trends and review overall safety performances.,Promote awareness of injury prevention and damage control to all levels of employees.,Further improvement in existing sound working methods.","Risk Assessment,Safety Management,Safety Compliance,Safety Inspection,Safety Training,Accident Investigation,Work Permit System,Industrial Safety,Safety Audit,Safety Implementation"
923,Construction Safety,Engineering & Construction,Environment Health & Safety,Full Time Permanent,Occupational Health & Safety,"Bachelors degree in any relevant field.,Where applicable registered as a HSEQ Professional with relevant HSEQ Organization & or Governmental Body.,15+ years of experience in HSEQ field. Well versed with OHSAS 18001, ISO 9001 & ISO 14001 requirements.,Experience in a HSEQ related role at a management & or senior advisory capacity.,Experience in the development & maintenance of HSEQ Management systems.,Experience in Auditing HSEQ Management Systems.,Establish & maintain a system for storage of HSEQ records & the updating of registers.,Functional report to the President Director & Management Systems Manager on HSE performance of Projects in accordance with procedures.,Assist in determining the HSEQ objectives & targets for the Project/s.,Assist the documentation, planning, reviewing & updating of the Project Management Plan & other documentation required for the implementation of the HSEQ aspects of the Project.,Monitor the implementation HSEQ aspects of the Project Management System.,Ensure that the responsibilities regarding HSEQ requirements are properly defined in purchase orders & sub-contracts.","Risk Assessment,Industrial Safety,Safety Management,HIRA,OHSAS 18001,Work Permit System,Hazard Analysis,Emergency Planning,Safety Audit,Accident Investigation,HSE Management,Safety Engineering,JSA,HSE Documentation"
924,QA / QC Manager,Engineering & Construction,Quality Assurance,Full Time Permanent,Production & Manufacturing,"Degree in Civil Engineering,15+ years of experience,Assist the Project Director/Manager in determining the quality and environmental objectives and targets for the project.,Monitor the implementation of the Project Quality and Environmental Plan,Ensure QA records are produced and stored by the Document Controller/Supervisor,Assess subcontractor/supplier QA arrangements for compliance with contract requirements.,Acquaint section personnel with QA requirements and arrangements in place to achieve.,To discuss with the section managers in the production and implementation of Safety, QA, QC and Environmental procedures.,Ensure key dates are achieved for preparation and submission (where appropriate) of quality procedures, inspection, and test plans.,To lead by personal example and to set direction to achieve the identified goals.","Quality Audit,Quality Inspection,Quality Management,Quality Assurance,Quality Control,High Rise Building,Quality Analysis,Quality Engineering,Data Center"
925,Construction Engineering - Other,Engineering & Construction,Construction & Site Engineering,Full Time Permanent,Construction Engineering,"civil engineering,Water Related Projects,Project Execution,Team Handling,Site Management,MIS,Jal Jeevan Mission,Water Treatment Plant,GI & HDPE Pipelines,Handling,Water,Civil,Plant,Management,Senior","temporary work,Coordination,Engineering Management,Design Engineering,Engineering Design,Project Engineering Management,Project Engineering,Rebar,Document Control"
926,Billing / Planning Engineer,Engineering & Construction,Construction & Site Engineering,Full Time Permanent,Construction Engineering,"Degree in Civil Engineering or equivalent,Total work experience: 15+ years,Total relevant experience: 3-5 years of experience in managing the commercial department of projects of similar size/complexity.,Knowledge of construction industry,Knowledge of legal aspects relevant to contracting,Process orientation,Commercial planning, monitoring & time management skills,Risk & opportunity management,Cash flow management,Client negotiations,Supplier/sub-contractor management,People management","Claims Management,Contract Management,Commercial Management,Contract Administration,Contract Negotiations,Construction Contracts,Construction Management,Contract Drafting,Commercial Operations,FIDIC"
